NCAA,ESPN,ESPN_PBP,conference,network_col,kenpom
A&M-Corpus Chris,Texas A&M-CC,Texas A&M-CC,Southland,skyblue,a&m-corpuschris
Abilene Christian,Abil Christian,Abilene Christian,Southland,purple,abilenechristian
Air Force,Air Force,Air Force,MWC,royalblue3,airforce
Akron,Akron,Akron,MAC,royalblue3,akron
Alabama,Alabama,Alabama,SEC,firebrick3,alabama
Alabama A&M,Alabama A&M,Alabama A&M,SWAC,firebrick3,alabamaa&m
Alabama St.,Alabama State,Alabama State,SWAC,gold,alabamast.
Albany (NY),Albany,Albany,Am. East,purple,albany(ny)
Alcorn,Alcorn State,Alcorn State,SWAC,purple,alcorn
American,American U,American,Patriot,red,american
Appalachian St.,Appalachian St,Appalachian State,Sunbelt,white,appalachianst.
Arizona,Arizona,Arizona,Pac 12,royalblue3,arizona
Arizona St.,Arizona State,Arizona State,Pac 12,gold,arizonast.
Ark.-Pine Bluff,AR-Pine Bluff,Arkansas-Pine Bluff,SWAC,gold,ark.-pinebluff
Arkansas,Arkansas,Arkansas,SEC,firebrick2,arkansas
Arkansas St.,Arkansas State,Arkansas State,Sunbelt,red,arkansasst.
Army West Point,Army,Army,Patriot,gold,armywestpoint
Auburn,Auburn,Auburn,SEC,orange,auburn
Austin Peay,Austin Peay,Austin Peay,OVC,firebrick2,austinpeay
Ball St.,Ball State,Ball State,MAC,red,ballst.
Baylor,Baylor,Baylor,Big 12,forestgreen,baylor
Belmont,Belmont,Belmont,OVC,royalblue3,belmont
Bethune-Cookman,Bethune-Cookman,Bethune-Cookman,MEAC,maroon,bethune-cookman
Binghamton,Binghamton,Binghamton,Am. East,forestgreen,binghamton
Boise St.,Boise State,Boise State,MWC,orange,boisest.
Boston College,Boston College,Boston College,ACC,firebrick3,bostoncollege
Boston U.,Boston U,Boston University,Patriot,red,bostonu.
Bowling Green,Bowling Green,Bowling Green,MAC,brown,bowlinggreen
Bradley,Bradley,Bradley,MVC,firebrick2,bradley
Brown,Brown,Brown,Ivy,brown,brown
Bryant,Bryant,Bryant,NEC,gold,bryant
Bucknell,Bucknell,Bucknell,Patriot,orange,bucknell
Buffalo,Buffalo,Buffalo,MAC,blue,buffalo
Butler,Butler,Butler,Big East,royalblue3,butler
BYU,BYU,BYU,WCC,royalblue3,byu
Cal Poly,Cal Poly,Cal Poly,Big West,gold,calpoly
Cal St. Fullerton,CSU Fullerton,CS Fullerton,Big West,orange,calst.fullerton
California,Cal,California,Pac 12,royalblue3,california
Campbell,Campbell,Campbell,Big South,orange,campbell
Canisius,Canisius,Canisius,MAAC,gold,canisius
Central Ark.,Cent Arkansas,Central Arkansas,Southland,purple,centralark.
Central Conn. St.,Cent Conn St,Central Connecticut,NEC,blue,centralconn.st.
Central Mich.,Cent Michigan,Central Michigan,MAC,maroon,centralmich.
Charleston So.,Charleston So,Charleston Southern,Big South,royalblue1,charlestonso.
Charlotte,Charlotte,Charlotte,C-USA,forestgreen,charlotte
Chattanooga,Chattanooga,Chattanooga,Southern,gold,chattanooga
Chicago St.,Chicago State,Chicago State,WAC,forestgreen,chicagost.
Cincinnati,Cincinnati,Cincinnati,AAC,red,cincinnati
Clemson,Clemson,Clemson,ACC,orange,clemson
Cleveland St.,Cleveland State,Cleveland State,Horizon,forestgreen,clevelandst.
