Teams:                                    W   L   T     SOS       PR
  1 VIRGINIA                                  31   2   0    75.32    88.74
  2 VILLANOVA                                 31   4   0    73.67    88.62
  3 DUKE                                      27   7   0    74.87    88.50
  4 PURDUE                                    28   6   0    74.07    86.73
  5 MICHIGAN ST.                              29   4   0    72.93    86.16
  6 KANSAS                                    28   7   0    75.67    85.60
  7 NORTH CAROLINA                            25  10   0    77.37    84.97
  8 CINCINNATI                                30   4   0    69.53    84.77
  9 TENNESSEE                                 26   8   0    74.97    83.37
 10 XAVIER                                    28   5   0    74.11    82.98
 11 TEXAS TECH                                25   9   0    73.97    82.83
 12 MICHIGAN                                  29   7   0    72.56    82.74
 13 KENTUCKY                                  25  10   0    76.39    82.35
 14 WEST VIRGINIA                             24  10   0    73.53    82.22
 15 OHIO ST.                                  25   8   0    74.09    81.94
 16 GONZAGA                                   31   4   0    67.14    81.92
 17 WICHITA ST.                               25   7   0    71.71    81.84
 18 FLORIDA                                   21  12   0    74.95    81.71
 19 HOUSTON                                   27   7   0    70.55    81.28
 20 SETON HALL                                22  11   0    75.42    81.28
 21 CLEMSON                                   23   9   0    74.05    80.94
 22 TCU                                       21  11   0    75.01    80.82
 23 AUBURN                                    25   7   0    73.15    80.66
 24 LOUISVILLE                                21  13   0    75.41    80.28
 25 PENN ST.                                  22  13   0    73.28    79.85
 26 BUTLER                                    20  13   0    74.99    79.64
 27 BAYLOR                                    19  14   0    73.28    79.64
 28 TEXAS A&M                                 20  12   0    75.16    79.56
 29 FLORIDA ST.                               20  11   0    73.67    79.39
 30 ARKANSAS                                  23  11   0    75.67    79.37
 31 ARIZONA                                   27   8   0    72.49    79.22
 32 RHODE ISLAND                              26   7   0    71.07    79.11
 33 TEXAS                                     19  14   0    75.83    78.98
 34 VIRGINIA TECH                             21  12   0    72.55    78.90
 35 MIAMI FLORIDA                             22  10   0    73.78    78.65
 36 ALABAMA                                   20  15   0    76.06    78.57
 37 SYRACUSE                                  21  13   0    75.34    78.48
 38 ST. MARY'S CA.                            29   5   0    65.14    78.43
 39 OKLAHOMA                                  18  14   0    75.77    78.24
 40 NOTRE DAME                                21  14   0    72.24    78.10
 41 MISSOURI                                  20  12   0    73.39    77.75
 42 MARYLAND                                  19  13   0    72.19    77.70
 43 SOUTHERN CAL                              24  11   0    71.75    77.37
 44 CREIGHTON                                 21  11   0    69.74    77.33
 45 MARQUETTE                                 20  13   0    74.85    77.26
 46 ARIZONA ST.                               20  12   0    71.02    77.22
 47 OKLAHOMA ST.                              20  14   0    74.09    77.18
 48 NEVADA                                    27   7   0    69.08    76.99
 49 PROVIDENCE                                21  13   0    75.60    76.99
 50 LSU                                       18  14   0    73.23    76.82
 51 KANSAS ST.                                22  11   0    73.12    76.75
 52 DAVIDSON                                  21  12   0    69.22    76.56
 53 SAN DIEGO ST.                             22  11   0    68.23    76.51
 54 MIDDLE TENNESSEE ST.                      25   7   0    66.81    76.44
 55 WESTERN KENTUCKY                          25  10   0    67.31    76.30
 56 NORTH CAROLINA ST.                        21  12   0    71.76    76.25
 57 NEBRASKA                                  22  11   0    73.11    75.99
 58 UCLA                                      21  12   0    71.73    75.86
 59 WISCONSIN                                 15  18   0    74.57    75.80
 60 OREGON                                    23  12   0    69.80    75.58
 61 GEORGIA                                   18  15   0    74.71    75.39
 62 BUFFALO                                   27   8   0    64.76    75.32
 63 MISSISSIPPI ST.                           23  11   0    69.02    75.13
 64 BOISE ST.                                 23   9   0    67.32    75.01
 65 UTAH                                      20  11   0    70.67    75.00
 66 ST. BONAVENTURE                           26   8   0    69.62    74.98
 67 LOYOLA ILLINOIS                           29   5   0    65.09    74.98
 68 BUCKNELL                                  25   9   0    65.56    74.67
 69 INDIANA                                   16  15   0    73.96    74.58
 70 MURRAY ST.                                26   5   0    61.28    74.35
 71 SMU                                       17  16   0    69.60    74.05
 72 NORTHWESTERN                              15  17   0    72.08    73.69
 73 SOUTH CAROLINA                            17  16   0    72.48    73.59
 74 OLD DOMINION                              25   7   0    64.34    73.31
 75 RUTGERS                                   15  19   0    72.61    73.25
 76 BOSTON COLLEGE                            19  16   0    72.90    73.23
 77 ST. JOHN'S                                16  17   0    74.09    72.96
 78 WASHINGTON                                21  12   0    70.55    72.94
 79 STANFORD                                  19  15   0    71.55    72.92
 80 LOUISIANA-LAFAYETTE                       27   7   0    62.14    72.91
 81 NORTH CAROLINA GREENSBORO                 27   8   0    62.77    72.86
 82 TEMPLE                                    17  16   0    73.09    72.78
 83 WAKE FOREST                               11  20   0    74.30    72.66
 84 MISSISSIPPI                               12  20   0    74.43    72.58
 85 IOWA                                      14  19   0    71.65    72.40
 86 VANDERBILT                                12  20   0    74.94    72.34
 87 BYU                                       24  11   0    66.55    72.30
 88 IOWA ST.                                  13  18   0    74.38    71.95
 89 MINNESOTA                                 15  17   0    72.70    71.76
 90 DEPAUL                                    11  20   0    73.26    71.46
 91 ILLINOIS                                  14  18   0    70.64    71.45
 92 NEW MEXICO                                19  15   0    67.58    71.29
 93 COLORADO                                  17  15   0    71.95    71.28
 94 TULSA                                     19  12   0    68.62    71.25
 95 NEVADA LAS VEGAS                          20  13   0    66.35    71.23
 96 OREGON ST.                                16  16   0    69.54    71.22
 97 FRESNO ST.                                21  11   0    64.81    71.21
 98 GEORGETOWN                                15  15   0    69.96    70.87
 99 PENNSYLVANIA                              24   9   0    64.43    70.83
100 FURMAN                                    23  10   0    62.27    70.79
101 NORTHEASTERN                              23  10   0    65.43    70.78
102 VERMONT                                   27   8   0    64.40    70.75
103 ST. JOSEPH'S PA.                          16  16   0    68.84    70.72
104 NORTHERN KENTUCKY                         22  10   0    60.63    70.08
105 NEW MEXICO ST.                            28   5   0    58.69    70.02
106 BELMONT                                   24   9   0    63.43    69.95
107 VCU                                       18  15   0    68.84    69.88
108 MEMPHIS                                   21  13   0    69.01    69.61
109 GEORGIA ST.                               24  10   0    61.35    69.58
110 GEORGIA TECH                              13  19   0    72.11    69.58
111 COLLEGE OF CHARLESTON                     26   7   0    62.35    69.29
112 CENTRAL FLORIDA                           19  13   0    69.16    69.04
113 EAST TENNESSEE ST.                        25   9   0    61.40    69.02
