Season,TeamID,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMss,OppOss,OppDss,AdjEMnc
2018,1438,32.05,116.5,84.5,59.1,0.032,9.87,110.8,100.9,0.21
2018,1437,31.41,127.4,96.0,68.2,-0.018,10.22,111.3,101.1,4.14
2018,1181,29.04,122.6,93.6,69.9,-0.029,10.79,110.9,100.1,4.64
2018,1153,26.97,113.2,86.2,64.6,-0.004,3.15,107.0,103.8,-4.16
2018,1345,26.66,123.3,96.6,67.2,0.003,8.54,109.3,100.8,0.94
2018,1277,26.31,120.0,93.7,67.1,0.048,6.45,109.0,102.6,-4.76
2018,1211,24.99,119.9,94.9,68.9,-0.006,1.18,106.7,105.5,3.23
2018,1314,24.93,121.9,97.0,70.9,-0.019,13.93,112.4,98.4,7.97
2018,1242,23.28,121.0,97.7,68.3,0.06,11.52,111.7,100.2,3.68
2018,1276,23.18,115.9,92.7,64.3,0.037,8.75,111.1,102.3,-4.54
2018,1397,22.16,114.8,92.7,66.1,0.04,11.61,112.2,100.6,7.52
2018,1403,21.98,114.1,92.1,66.5,-0.021,9.27,110.3,101.1,-5.15
2018,1452,21.82,119.2,97.4,69.0,-0.009,10.51,109.9,99.4,-4.3
2018,1462,21.68,120.7,99.1,70.4,0.109,9.59,110.3,100.7,2.11
2018,1326,21.1,116.2,95.1,66.3,0.027,8.13,109.7,101.6,0.4
2018,1120,20.71,118.2,97.5,72.2,-0.012,7.6,109.1,101.5,-1.65
2018,1222,20.53,115.8,95.3,68.2,-0.009,3.36,106.7,103.3,-2.74
2018,1246,20.38,116.4,96.1,68.5,-0.001,11.12,111.0,99.9,4.88
2018,1155,20.15,113.7,93.6,65.6,0.004,9.62,110.8,101.2,-1.85
2018,1455,20.06,122.0,101.9,68.5,-0.015,5.54,107.8,102.3,2.05
2018,1112,19.32,119.0,99.7,67.3,0.025,6.27,108.8,102.6,2.79
2018,1395,18.98,120.7,101.7,68.6,-0.058,9.88,111.4,101.6,-0.41
2018,1196,18.73,115.2,96.4,66.7,-0.049,10.75,110.7,100.0,4.47
2018,1305,18.25,119.9,101.7,69.4,-0.028,4.5,107.3,102.8,4.29
2018,1388,18.21,120.3,102.1,63.7,0.004,-1.49,104.6,106.1,-3.62
2018,1139,17.84,115.7,97.9,67.8,-0.037,10.54,111.9,101.3,0.25
2018,1371,17.29,116.3,99.1,69.3,-0.02,9.53,110.4,100.9,0.33
2018,1166,17.25,116.5,99.2,70.8,-0.018,9.18,111.1,101.9,-3.86
2018,1336,17.06,113.0,96.0,67.5,-0.078,6.71,109.4,102.7,-6.14
2018,1401,16.94,111.3,94.3,69.0,-0.007,11.36,112.1,100.7,5.34
2018,1323,16.61,115.7,99.1,65.2,-0.052,8.86,110.3,101.5,-1.34
2018,1439,16.54,115.0,98.5,68.6,-0.003,8.06,109.8,101.7,-9.56
2018,1124,16.38,111.1,94.7,66.6,-0.065,10.43,111.7,101.3,-3.57
2018,1257,16.38,112.4,96.1,69.6,-0.012,9.15,110.3,101.1,-2.11
2018,1199,15.7,115.9,100.2,71.5,-0.032,7.84,109.0,101.2,-6.7
2018,1116,15.65,117.3,101.7,69.6,0.062,10.16,111.0,100.8,1.29
2018,1274,15.63,113.3,97.7,67.0,0.034,8.08,109.5,101.5,-3.51
2018,1400,15.51,109.4,93.9,65.1,-0.018,11.82,111.7,99.9,2.21
2018,1281,15.48,113.3,97.8,65.6,-0.021,9.6,110.1,100.5,1.25
2018,1425,15.3,115.4,100.1,67.4,-0.014,5.97,108.9,102.9,1.93
2018,1260,15.11,111.3,96.2,65.3,0.058,0.03,103.8,103.7,-5.62
2018,1301,14.99,116.4,101.4,71.3,0.007,7.48,108.8,101.3,-9.46
2018,1172,14.99,117.5,102.5,64.1,-0.051,1.95,105.9,103.9,1.79
2018,1292,14.95,111.3,96.3,66.5,-0.003,2.92,107.5,104.6,8.3
2018,1243,14.81,112.2,97.4,65.5,0.056,9.24,111.4,102.2,-6.03
2018,1113,14.71,117.6,102.9,71.5,-0.072,5.78,108.1,102.3,1.59
2018,1268,14.64,114.1,99.5,66.2,-0.046,8.03,109.2,101.1,-4.5
2018,1328,14.49,115.2,100.7,75.7,0.005,12.02,111.9,99.8,2.31
2018,1348,14.43,111.8,97.4,68.6,0.037,2.72,107.4,104.7,4.03
2018,1361,14.21,111.3,97.1,68.6,-0.015,3.41,107.6,104.2,-0.1
2018,1417,13.89,115.4,101.5,70.3,-0.027,7.05,108.8,101.8,3.52
2018,1104,13.86,108.5,94.6,68.7,0.0,11.06,111.0,100.0,3.07
2018,1308,13.78,108.6,94.8,68.1,0.032,-1.32,104.3,105.7,4.33
2018,1266,13.69,119.3,105.6,69.0,0.018,10.53,111.8,101.3,-0.32
