Season,TeamID,AdjEM,AdjO,AdjD,AdjT,Luck,AdjEMss,OppOss,OppDss,AdjEMnc
2004,1277,+7.60,117.2,101.5,64,-0.014,+7.60,107.1,98.2,+7.60
2013,1241,-4.5,100.2,101.1,62.9,+.063,-4.5,101.9,105.3,-4.5
2016,1163,-0.91,111.9,93.2,65.9,-0.036,-0.91,107.6,101.4,-0.91
2017,1345,-2.38,117,93.9,69.1,+.016,-2.38,109.6,100.6,-2.38
2010,1458,+1.01,115.2,91.6,59.2,-0.013,+1.01,107.9,99.2,+1.01
2002,1227,+0.67,108.9,105,67.5,+.040,+0.67,104.3,102.4,+0.67
2014,1277,+0.57,118.6,94.7,64.4,-0.003,+0.57,110.2,99.7,+0.57
2016,1386,+1.97,114.3,98.9,70.2,+.030,+1.97,107,102.3,+1.97
2002,1221,-3.38,98.1,98.4,62.2,-0.048,-3.38,99.7,106.1,-3.38
2016,1151,-0.04,107.5,101,66.3,+.132,-0.04,104.4,107.6,-0.04
2005,1175,+9.89,102.3,107.2,59.3,+.077,+9.89,97.1,104.6,+9.89
2006,1206,+2.16,109.7,91.5,62.6,+.017,+2.16,105.3,101.2,+2.16
2010,1288,+0.13,105.5,104,68.6,+.078,+0.13,98.2,105.9,+0.13
2009,1261,-8.66,111.5,96.6,66.1,+.075,-8.66,104.6,101.1,-8.66
2013,1338,-9.69,115.6,91.5,59.3,-0.058,-9.69,104.9,100.4,-9.69
2002,1417,+8.58,113.7,97.3,68.1,+.048,+8.58,110.3,98.3,+8.58
2014,1454,-2.92,104.7,104.6,65.8,+.119,-2.92,104.4,104.4,-2.92
2009,1112,+2.34,117.7,101.8,64.9,+.018,+2.34,109,97.7,+2.34
2016,1333,+0.46,110.7,99.1,67.1,+.043,+0.46,109.8,100.2,+0.46
2005,1403,-3.94,110.3,94.8,69,+.037,-3.94,108.8,99.9,-3.94
2007,1458,-1.57,115.6,90.1,63.8,+.034,-1.57,108.1,100.3,-1.57
2010,1277,-0.94,112.8,92.7,65.3,+.027,-0.94,107.5,98.5,-0.94
2009,1113,-2.04,118.2,95.2,59.1,-0.018,-2.04,108.9,98.8,-2.04
2011,1281,-4.76,113.4,97.8,70.7,-0.013,-4.76,106.9,100.4,-4.76
2007,1211,+15.31,115.3,100.0,67.1,-.032,+4.15,106.7,102.5,+9.52
2010,1401,+0.15,112.6,91.2,64.3,-0.005,+0.15,109.4,97.9,+0.15
2014,1409,+2.81,106.1,97.2,66.8,-0.023,+2.81,104.9,104.3,+2.81
2012,1161,+0.85,111.9,103.7,63.6,+.075,+0.85,104.7,100.3,+0.85
2006,1284,+4.12,95.8,96.4,64.6,+.018,+4.12,101.2,104.7,+4.12
2004,1320,-1.91,107.4,98.6,64.8,+.022,-1.91,103.9,101.4,-1.91
2004,1444,-1.21,114.3,98,65.6,+.037,-1.21,103.5,104.1,-1.21
2006,1130,-5.69,117.8,99.2,61.5,+.024,-5.69,107.1,99.7,-5.69
2008,1425,+0.40,110.5,91.9,65.2,-0.005,+0.40,109.7,98.5,+0.40
2015,1139,+0.69,110.2,90.1,63.2,-0.023,+0.69,110.6,100.9,+0.69
2011,1139,+6.67,112.3,95.9,63.5,+.033,+6.67,106.4,100.3,+6.67
2005,1301,-3.82,115,96.1,63.1,-0.062,-3.82,108.3,98.3,-3.82
2006,1334,+0.54,109.8,99,62.8,+.010,+0.54,102.7,104.7,+0.54
2014,1417,-3.26,118.7,96.1,68.4,-0.019,-3.26,109.1,101.5,-3.26
2010,1140,-0.03,117.3,94,71.1,+.012,-0.03,104.9,101,-0.03
2003,1323,+3.78,116.5,96.2,69.2,+.009,+3.78,107.3,96.3,+3.78
2014,1361,+2.71,110.4,90,62.3,+.067,+2.71,108,102.8,+2.71
2006,1272,+7.82,113.2,89.6,70.8,-0.007,+7.82,103.9,100,+7.82
2005,1400,-2.46,114.1,97.1,66.5,-0.051,-2.46,107,100.4,-2.46
2016,1201,-2.89,107.4,100.8,69,+.085,-2.89,105.3,103.7,-2.89
2004,1102,-10.49,111.4,96,51.9,+.025,-10.49,103.3,102.8,-10.49
2007,1326,+29.33,121.0,91.7,64.9,+.057,+9.82,109.0,99.2,-1.71
2002,1131,+0.25,101.3,104,64.5,+.102,+0.25,97.7,106.9,+0.25
2004,1334,+3.56,108.6,99.7,63.6,+.096,+3.56,103.4,103.1,+3.56
2011,1324,+14.82,118.6,105.3,71.1,+.021,+14.82,106,104,+14.82
2011,1433,+2.26,112,98.5,65.6,+.021,+2.26,105.8,101,+2.26
2003,1386,+5.80,109,88.3,64.1,-0.049,+5.80,105,100.4,+5.80
2016,1124,-3.12,118.9,99.8,66.6,-0.012,-3.12,109.7,98.4,-3.12
2017,1439,-7.98,117.3,103.5,68.4,+.053,-7.98,110,101.7,-7.98
2014,1386,+0.17,112.3,99.4,64.3,+.079,+0.17,107.5,101.3,+0.17
2006,1285,-0.71,111.6,102.7,66.2,+.056,-0.71,103.6,104.2,-0.71
2006,1172,+4.86,109.9,105.0,66.0,-.025,-3.30,101.4,104.7,+9.24
2009,1372,+4.63,97,90.4,62.4,+.053,+4.63,101.9,103.9,+4.63
2007,1450,-4.96,111.7,92.8,60,+.004,-4.96,107.6,100.9,-4.96
2008,1110,-2.17,107.9,106.3,60.4,+.045,-2.17,99.9,104.1,-2.17
2014,1332,-1.18,118.9,99.9,67.5,-0.037,-1.18,109.1,101.8,-1.18
2009,1266,-4.95,117.1,96.1,67.5,-0.014,-4.95,107.8,99.5,-4.95
