Season,DayNum,WTeamID,WScore,WSeed,LTeamID,LScore,LSeed,WLoc,NumOT
2018,1,1209,74,16,1438,54,1,N,0
2018,1,1243,69,9,1166,59,8,N,0
2018,1,1246,78,5,1172,73,12,N,0
2018,1,1138,89,13,1112,68,4,N,0
2018,1,1260,64,11,1274,62,6,N,0
2018,1,1397,73,3,1460,47,14,N,0
2018,1,1305,87,7,1400,83,10,N,1
2018,1,1153,68,2,1209,53,15,N,0
2018,1,1462,102,1,1411,83,16,N,0
2018,1,1199,67,9,1281,54,8,N,0
2018,1,1326,81,5,1355,73,12,N,0
2018,1,1211,68,4,1422,64,13,N,0
2018,1,1222,67,6,1361,65,11,N,0
2018,1,1276,61,3,1285,47,14,N,0
2018,1,1401,73,7,1344,69,10,N,0
2018,1,1314,84,2,1252,66,15,N,0
2018,1,1437,87,1,1347,61,16,N,0
2018,1,1104,86,9,1439,83,8,N,0
2018,1,1452,85,5,1293,68,12,N,0
2018,1,1267,81,13,1455,75,4,N,0
2018,1,1196,77,6,1382,62,11,N,0
2018,1,1403,70,3,1372,60,14,N,0
2018,1,1139,79,10,1116,62,7,N,0
2018,1,1345,74,2,1168,48,15,N,0
2018,1,1242,76,1,1335,60,16,N,0
2018,1,1371,94,8,1301,83,9,N,0
2018,1,1155,79,5,1308,68,12,N,0
2018,1,1120,62,4,1158,58,13,N,0
2018,1,1393,57,11,1395,52,6,N,0
2018,1,1277,82,3,1137,78,14,N,0
2018,1,1348,83,7,1328,78,10,N,0
2018,1,1181,89,2,1233,67,15,N,0
2018,2,1243,50,9,1209,43,16,N,0
2018,2,1246,95,5,1138,75,13,N,0
2018,2,1260,63,11,1397,62,3,N,0
2018,2,1305,75,7,1153,73,2,N,0
2018,2,1199,75,9,1462,70,1,N,0
2018,2,1211,90,4,1326,84,5,N,0
2018,2,1276,64,3,1222,63,6,N,0
2018,2,1401,86,7,1314,65,2,N,0
2018,2,1437,81,1,1104,58,9,N,0
2018,2,1452,94,5,1267,71,13,N,0
2018,2,1403,69,3,1196,66,6,N,0
2018,2,1345,76,2,1139,73,10,N,0
2018,2,1242,83,1,1371,79,8,N,0
2018,2,1155,84,5,1120,53,4,N,0
2018,2,1393,55,11,1277,53,3,N,0
2018,2,1181,87,2,1348,62,7,N,0
2018,3,1243,61,9,1246,58,5,N,0
2018,3,1260,69,11,1305,68,7,N,0
2018,3,1199,75,9,1211,60,4,N,0
2018,3,1276,99,3,1401,72,7,N,0
2018,3,1437,90,1,1452,78,5,N,0
2018,3,1403,78,3,1345,65,2,N,0
2018,3,1242,80,1,1155,76,5,N,0
2018,3,1181,69,22,1393,65,11,N,0
2018,4,1260,78,11,1243,62,9,N,0
2018,4,1276,58,3,1199,54,9,N,0
2018,4,1437,71,1,1403,59,3,N,0
2018,4,1242,85,1,1181,81,2,N,1
2018,5,1276,69,3,1260,57,11,N,0
2018,5,1437,95,1,1242,79,1,N,0
2018,6,1437,79,1,1276,62,3,N,0
